Time,NO_1,NO_2,NO_3,NO_4,NO_5
733,6797,5689,3738,2702,2508
734,6739,5639,3641,2738,2494
735,6823,5637,3533,2725,2520
736,7114,5733,3729,2763,2574
737,7336,5887,3911,2775,2635
738,7317,5920,3890,2766,2590
739,7267,5919,3869,2744,2586
740,7141,5864,3693,2740,2595
741,7032,5744,3675,2734,2544
742,6808,5631,3672,2691,2508
743,6585,5486,3610,2638,2434
744,6405,5339,3505,2564,2370
745,6275,5095,3480,2548,2374
746,6231,5201,3441,2544,2354
747,6222,5206,3446,2531,2342
748,6286,5313,3475,2549,2376
749,6539,5506,3658,2604,2367
750,7009,5847,3803,2667,2615
751,7534,6271,4001,2840,2771
752,7821,6207,3935,2934,2830
753,7802,6390,3914,2945,2861
754,7725,6300,3901,2846,2833
755,7696,6242,4033,2836,2781
756,7636,6205,3954,2786,2753
757,7502,6165,3977,2674,2721
758,7417,6110,4004,2754,2735
759,7388,6087,4081,2821,2671
760,7429,6105,4085,2828,2685
761,7450,6167,4052,2736,2743
762,7399,6160,4071,2747,2747
763,7404,6133,4002,2789,2727
764,7383,6058,3961,2937,2736
765,7242,5991,3992,2855,2673
766,6981,5813,3865,2757,2644
767,6695,5634,3815,2650,2554
768,6452,5501,3789,2598,2497
769,6337,5429,3723,2527,2435
770,6270,5415,3702,2506,2411
771,6237,5437,3720,2560,2413
772,6296,5466,3781,2589,2434
773,6531,5637,3873,2575,2455
774,6903,5990,3960,2641,2644
775,7406,6377,4253,2791,2797
776,7624,6514,4345,2854,2851
777,7601,6467,4375,2880,2856
778,7527,6472,4346,2935,2895
779,7584,6306,4310,2918,2801
780,7526,6191,4280,2927,2784
781,7570,6151,4229,2818,2760
782,7576,6152,4190,2878,2744
783,7560,6171,4216,2866,2710
784,7655,6175,4236,2859,2742
785,7606,6189,4312,2905,2775
786,7436,6182,4230,2798,2799
787,7316,6216,4264,2823,2802
788,7234,6186,4242,2835,2747
789,7066,6084,4205,2754,2741
790,6784,5912,3990,2711,2631
791,6471,5712,3935,2691,2471
792,6249,5604,3971,2637,2443
793,6096,5551,3851,2608,2446
794,6056,5587,3905,2601,2428
795,6033,5632,3926,2582,2479
796,6050,5674,3960,2646,2479
797,6246,5798,4014,2694,2519
798,6717,6173,4384,2774,2691
799,7279,6672,4577,2939,2780
800,7443,6626,4494,2958,2893
801,7443,6617,4410,2935,2894
802,7383,6210,4360,2929,2874
803,7276,6263,4476,2922,2846
804,7184,6146,4339,2882,2862
805,7132,5878,4296,2856,2691
806,7107,6078,4251,2825,2729
807,7218,6136,4241,2889,2696
808,7405,6209,4252,2809,2773
809,7634,6333,4214,2793,2810
810,7613,6421,4229,2796,2829
811,7497,6366,4272,2760,2795
812,7369,6331,4256,2697,2860
813,7186,6178,4153,2650,2749
814,6979,5988,3987,2593,2656
